Company,OS,Processor,TypeName,VC,Ram,TS,Weight,HDD,SSD,IPS,Inches,PPI,Price
HP,WindowsOS,Intel Core i7,Gaming,Nvidia,12,0,2.62,1024,128,1,15.6,141.0,66546.72
HP,WindowsOS,Intel Core i7,Notebook,AMD,8,0,1.91,0,256,0,15.6,141.0,38308.32
HP,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.1,512,0,0,15.6,141.0,18594.72
Dell,LinuxOS,Intel Core i5,Notebook,AMD,8,0,2.2,1024,0,0,15.6,141.0,34472.16
HP,WindowsOS,Intel Core i7,Ultrabook,Nvidia,8,0,1.38,0,256,1,13.3,166.0,59620.32
Microsoft,WindowsOS,Intel Core i5,Ultrabook,Intel,8,1,1.252,0,256,0,13.3,204.0,71395.2
HP,WindowsOS,Intel Core i5,Notebook,Nvidia,6,0,1.58,0,256,1,14.0,157.0,35111.52
Lenovo,WindowsOS,Intel Core i3,Notebook,Intel,4,0,1.85,1024,0,0,15.6,141.0,22105.872
Asus,WindowsOS,Intel Core i7,Ultrabook,Nvidia,8,0,1.3,0,256,1,14.0,157.0,63563.04
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.2,1024,256,0,15.6,141.0,69210.72
Lenovo,WindowsOS,Intel Core i7,Notebook,Intel,8,0,1.58,0,256,1,14.0,157.0,78854.4
Asus,WindowsOS,Intel Core i7,Ultrabook,Nvidia,16,0,1.5,1024,256,0,15.6,141.0,67239.36
Dell,WindowsOS,Intel Core i7,Ultrabook,Intel,8,1,1.23,0,256,0,13.3,276.0,73473.12
Lenovo,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.37,0,256,1,13.3,166.0,74538.72
HP,WindowsOS,Intel Core i5,Notebook,Intel,4,0,1.63,512,0,1,14.0,112.0,38468.16
Dell,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.21,0,256,1,13.3,166.0,86793.12
HP,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.26,0,256,1,13.3,166.0,74538.1872
HP,WindowsOS,Intel Core i7,Notebook,Intel,8,0,1.63,0,512,0,14.0,157.0,57755.52
Dell,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.16,1024,256,1,15.6,141.0,60223.98239999999
Asus,WindowsOS,Intel Core i3,Notebook,Nvidia,4,0,2.0,1024,0,0,17.3,127.0,30049.92
Asus,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,1.7,0,256,0,15.6,141.0,59567.04
Acer,WindowsOS,Intel Core i3,Notebook,Intel,6,1,2.1,1024,0,1,15.6,141.0,25521.12
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,1.8,2048,256,0,15.6,141.0,119427.12
Lenovo,OtherOS,Intel Core i5,Notebook,Nvidia,8,0,2.2,0,256,0,15.6,141.0,33513.119999999995
HP,WindowsOS,Intel Core i7,Notebook,Nvidia,16,0,2.5,0,512,0,17.3,127.0,67718.88
Acer,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.1,0,256,0,15.6,100.0,24029.28
HP,OtherOS,Other Intel Processor,Notebook,Intel,4,0,1.86,512,0,0,15.6,100.0,13799.52
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.63,1024,0,0,14.0,157.0,43263.36
Asus,WindowsOS,AMD Processor,Notebook,AMD,4,0,1.65,0,64,0,14.0,112.0,14811.3072
Dell,WindowsOS,Intel Core i7,Notebook,AMD,16,0,2.8,2048,256,0,17.3,127.0,74378.87999999999
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,2.5,0,256,0,17.3,127.0,49443.84
Dell,WindowsOS,Intel Core i5,Notebook,AMD,8,0,2.36,1024,0,0,15.6,100.0,34045.3872
Dell,WindowsOS,Intel Core i3,Notebook,AMD,4,0,2.2,1024,0,0,15.6,141.0,23922.72
Acer,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.6,0,256,1,14.0,157.0,47099.52
Acer,WindowsOS,Intel Core i3,Notebook,Nvidia,4,0,2.2,0,256,0,15.6,141.0,30476.16
HP,WindowsOS,Intel Core i7,Notebook,Intel,8,0,2.05,1024,0,0,15.6,100.0,31861.44
HP,WindowsOS,Intel Core i7,Notebook,Intel,8,0,1.63,0,256,0,14.0,157.0,52640.64
Lenovo,OtherOS,Other Intel Processor,Notebook,Intel,4,0,1.9,1024,0,0,15.6,100.0,13445.7408
Asus,WindowsOS,Intel Core i5,Gaming,Nvidia,8,0,3.0,1024,128,0,17.3,127.0,49976.64
Lenovo,OtherOS,Intel Core i5,Notebook,Nvidia,4,0,2.2,1024,0,0,15.6,141.0,26586.72
HP,WindowsOS,Intel Core i5,Notebook,Intel,4,0,1.32,0,256,1,13.3,166.0,37242.72
Acer,WindowsOS,Intel Core i3,Notebook,Nvidia,4,0,3.0,1024,0,1,17.3,127.0,34898.4
Lenovo,WindowsOS,Intel Core i5,Notebook,AMD,8,0,1.75,0,256,1,14.0,157.0,59461.5456
Lenovo,OtherOS,Intel Core i7,Gaming,Nvidia,8,0,2.4,0,256,1,15.6,141.0,46300.32
Toshiba,WindowsOS,Intel Core i5,Notebook,Intel,4,0,2.1,512,0,0,15.6,100.0,32074.56
HP,WindowsOS,AMD Processor,Notebook,AMD,4,0,1.86,0,256,0,15.6,100.0,19660.32
Asus,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.25,0,256,0,14.0,157.0,58554.72
HP,WindowsOS,Other Intel Processor,Ultrabook,Intel,8,1,0.97,0,512,1,13.3,331.0,107305.92
Asus,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,2.0,1024,0,0,15.6,141.0,18328.32
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.9,1024,256,0,17.3,127.0,108105.12
Acer,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.1,1024,0,0,15.6,100.0,23816.16
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.56,0,512,0,15.6,141.0,66560.5728
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,8,0,2.62,0,0,0,15.6,141.0,47898.72
Lenovo,WindowsOS,Intel Core i5,Notebook,Intel,4,0,1.9,0,128,0,15.6,100.0,26533.44
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.8,1024,256,0,17.3,127.0,100699.2
HP,WindowsOS,Intel Core i5,Ultrabook,Intel,4,0,1.48,0,256,0,14.0,157.0,57648.96
HP,WindowsOS,Intel Core i5,Notebook,AMD,6,0,1.91,0,256,0,15.6,141.0,32980.32
Lenovo,WindowsOS,Intel Core i3,Convertible,Intel,4,1,1.74,0,256,1,14.0,157.0,33513.119999999995
Asus,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.1,0,256,0,13.3,166.0,70063.2
Dell,WindowsOS,Intel Core i7,Convertible,Intel,8,1,1.56,0,256,0,15.6,141.0,55890.72
Toshiba,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.1,512,0,0,15.6,100.0,23816.16
Asus,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.03,1024,0,0,15.6,100.0,21471.84
Acer,WindowsOS,Intel Core i5,Notebook,Nvidia,4,0,3.0,0,256,1,17.3,127.0,42890.4
Dell,WindowsOS,Intel Core i5,Notebook,AMD,8,0,2.13,0,256,0,15.6,141.0,38787.84
Lenovo,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.5,0,256,1,15.6,141.0,57489.12
Acer,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,2.1,1024,0,0,15.6,100.0,18541.44
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.4,1024,256,1,15.6,141.0,95850.72
Acer,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,2.1,1024,0,0,15.6,100.0,19367.8128
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,8,0,2.56,1024,128,0,15.6,141.0,56502.9072
Acer,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,3.0,0,256,1,17.3,127.0,45501.12
HP,WindowsOS,Intel Core i5,Notebook,Intel,4,0,1.49,512,0,1,13.3,166.0,40173.12
Huawei,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.05,0,256,1,13.3,195.0,71874.72
HP,WindowsOS,Intel Core i5,Notebook,AMD,6,0,2.71,2048,0,1,17.3,127.0,37242.72
Lenovo,OtherOS,AMD Processor,Notebook,AMD,4,0,2.2,512,0,0,15.6,100.0,16463.52
Toshiba,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.0,512,0,0,15.6,100.0,26053.92
HP,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.5,0,256,0,17.3,127.0,49177.44
Dell,WindowsOS,Intel Core i3,Notebook,Intel,8,0,2.3,1024,0,0,15.6,100.0,24455.52
Acer,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.1,0,128,0,15.6,100.0,23922.72
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,32,0,4.4,1024,512,0,17.3,127.0,149130.72
Lenovo,WindowsOS,Intel Core i5,Notebook,AMD,8,0,1.9,1024,128,0,15.6,141.0,43316.64
HP,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.29,0,256,1,13.3,331.0,79866.72
Dell,LinuxOS,Intel Core i7,Notebook,AMD,16,0,2.02,2048,256,0,15.6,141.0,55890.72
Dell,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.23,0,256,0,13.3,166.0,74538.72
Lenovo,WindowsOS,Intel Core i7,Convertible,Intel,16,1,1.4,0,512,1,14.0,315.0,98514.72
Toshiba,WindowsOS,Intel Core i5,Notebook,Intel,8,0,2.0,0,128,0,15.6,100.0,42251.04
Xiaomi,OtherOS,Intel Core i5,Notebook,Nvidia,8,0,1.95,0,256,1,15.6,141.0,63882.72
Dell,WindowsOS,Intel Core i7,Notebook,Nvidia,16,1,2.77,0,512,0,17.3,127.0,82530.72
Dell,WindowsOS,Intel Core i7,Notebook,Nvidia,16,1,2.06,0,512,0,15.6,282.0,127712.16
Lenovo,OtherOS,Intel Core i5,Gaming,Nvidia,8,0,2.4,0,256,1,15.6,141.0,41505.12
Acer,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.12,0,256,1,13.3,166.0,52693.92
Dell,WindowsOS,Intel Core i7,Notebook,AMD,8,0,2.8,1024,128,0,17.3,127.0,57808.8
Lenovo,WindowsOS,Intel Core i7,Convertible,Intel,16,1,1.42,0,1024,0,14.0,210.0,150462.72
Vero,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,1.3,0,0,1,14.0,157.0,13852.8
Xiaomi,OtherOS,Intel Core i5,Ultrabook,Nvidia,8,0,1.3,0,256,1,13.3,166.0,53274.67199999999
Lenovo,OtherOS,Intel Core i5,Notebook,Nvidia,8,0,2.8,0,256,0,17.3,106.0,37189.44
Dell,WindowsOS,Intel Core i7,Convertible,Intel,8,1,1.62,1024,0,1,13.3,166.0,44701.92
HP,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.5,1024,0,1,17.3,127.0,48697.92
Razer,WindowsOS,Intel Core i7,Gaming,Nvidia,32,1,3.49,0,1024,0,17.3,255.0,324954.72
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.49,0,512,0,13.3,166.0,51095.52
HP,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,3.35,1024,256,1,17.3,127.0,73473.12
HP,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.5,0,256,0,17.3,127.0,55677.6
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.65,1024,512,1,15.6,282.0,98301.6
Lenovo,WindowsOS,Intel Core i5,Notebook,Intel,4,0,2.1,0,128,0,15.6,100.0,26267.04
Acer,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.23,1024,0,0,15.6,141.0,39533.76
Lenovo,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,3.2,1024,512,1,15.6,141.0,93186.72
Dell,WindowsOS,Other Intel Processor,Workstation,Nvidia,16,0,2.8,1024,256,0,15.6,282.0,162770.4
Lenovo,OtherOS,Intel Core i7,Gaming,Nvidia,16,0,2.4,0,512,0,15.6,141.0,74485.44
Dell,WindowsOS,Intel Core i3,Notebook,Intel,6,1,2.3,1024,0,0,15.6,100.0,23389.92
Dell,WindowsOS,Intel Core i7,Ultrabook,Intel,8,1,1.21,0,256,1,13.3,331.0,103842.72
Dell,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.2,0,256,0,13.3,166.0,77202.72
Lenovo,WindowsOS,Intel Core i5,Notebook,Intel,8,0,2.2,0,256,0,15.6,100.0,31808.16
Acer,LinuxOS,Intel Core i7,Notebook,Nvidia,8,0,2.4,1024,0,0,15.6,141.0,41505.12
Asus,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.9,1024,256,0,17.3,127.0,74964.95999999999
HP,OtherOS,Intel Core i3,Notebook,Intel,4,0,2.1,512,0,0,15.6,141.0,18594.72
Lenovo,OtherOS,Intel Core i5,Notebook,Intel,8,0,2.2,0,256,0,15.6,141.0,29250.72
Huawei,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.05,0,512,1,13.3,195.0,79866.72
Dell,WindowsOS,Intel Core i7,Ultrabook,AMD,8,0,1.4,0,256,1,13.3,166.0,49650.5664
Lenovo,OtherOS,Intel Core i5,Notebook,Nvidia,8,0,2.8,1024,0,0,17.3,106.0,31381.92
HP,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,1.63,0,256,0,14.0,157.0,54931.68
Dell,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.6,0,256,0,14.0,157.0,61218.72
Dell,WindowsOS,Intel Core i7,Convertible,Intel,16,1,1.62,0,512,0,13.3,166.0,68145.12
Dell,LinuxOS,Intel Core i5,Notebook,AMD,8,0,2.2,0,256,0,15.6,141.0,36089.208
Lenovo,WindowsOS,Intel Core i5,Convertible,Intel,8,0,1.74,0,256,1,14.0,157.0,47898.72
Toshiba,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.2,0,256,0,13.3,166.0,72620.64
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,2.1,1024,0,0,15.6,141.0,42304.32
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,4.42,1024,256,1,17.3,127.0,130873.7952
Acer,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.2,0,256,0,15.6,141.0,44328.96
Dell,WindowsOS,Intel Core i7,Notebook,AMD,16,1,2.3,1024,0,0,15.6,141.0,45768.0528
Asus,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.0,0,256,0,15.6,141.0,40972.32
Asus,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.69,512,256,0,17.3,127.0,47472.48
HP,WindowsOS,Intel Core i7,Notebook,AMD,8,0,1.9,1024,0,0,15.6,141.0,67612.31999999999
Asus,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.37,1024,0,0,15.6,100.0,21258.1872
HP,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.1,512,0,0,15.6,100.0,17582.399999999998
Lenovo,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,3.2,1024,256,1,15.6,141.0,79866.72
Dell,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.6,0,256,0,14.0,157.0,45767.52
Acer,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.6,0,256,1,13.3,166.0,36709.92
Dell,LinuxOS,Intel Core i7,Notebook,AMD,16,0,2.36,0,256,0,15.6,141.0,47898.72
Acer,LinuxOS,Intel Core i3,Notebook,Intel,4,0,2.1,1024,0,0,15.6,100.0,20779.2
Asus,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.2,1024,128,0,15.6,141.0,30636.0
Asus,WindowsOS,Intel Core i7,Gaming,Nvidia,32,0,4.7,1024,512,0,17.3,127.0,207259.2
Acer,WindowsOS,Intel Core i5,Gaming,Nvidia,8,0,2.5,0,256,1,15.6,141.0,45074.88
Lenovo,WindowsOS,Intel Core i3,Notebook,Intel,8,0,2.2,0,128,0,15.6,100.0,31381.92
Asus,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.1,1024,128,0,17.3,127.0,61005.6
Asus,OtherOS,Intel Core i7,Notebook,Nvidia,8,0,2.69,1024,128,0,17.3,127.0,47365.92
Dell,WindowsOS,Intel Core i5,Gaming,Nvidia,8,0,2.56,0,256,0,15.6,141.0,46833.12
Lenovo,WindowsOS,Intel Core i7,Convertible,Intel,8,1,1.38,0,256,1,14.0,157.0,57489.12
